# Bright Star Catalogue, 5th Revised Ed. (Preliminary Version)
# Hoffleit D., Warren Jr W.H., Astronomical Data Center, NSSDC/ADC (1991)
# VizieR catalogue V/50 -- https://cdsarc.cds.unistra.fr/ftp/V/50/
#
# Generated by scripts/gen-starcatalog. Do not edit by hand.
# Selection: apparent visual magnitude <= 6.5. Equinox and epoch J2000.
#
# hr	ra_deg	dec_deg	vmag	bv	spectral_type	designation	name
2491	101.28708	-16.71611	-1.46	0.00	A1Vm	9Alp CMa	Sirius
2326	95.98792	-52.69583	-0.72	+0.15	F0II	Alp Car	Canopus
5340	213.91542	19.18250	-0.04	+1.23	K1.5IIIFe-0.5	16Alp Boo	Arcturus
5459	219.89958	-60.83528	-0.01	+0.71	G2V	Alp1Cen	
7001	279.23458	38.78361	0.03	0.00	A0Va	3Alp Lyr	Vega
1708	79.17250	45.99806	0.08	+0.80	G5IIIe+G0III	13Alp Aur	Capella
1713	78.63458	-8.20167	0.12	-0.03	B8Ia:	19Bet Ori	Rigel
2943	114.82542	5.22500	0.38	+0.42	F5IV-V	10Alp CMi	Procyon
472	24.42875	-57.23667	0.46	-0.16	B3Vpe	Alp Eri	Achernar
2061	88.79292	7.40694	0.50	+1.85	M1-2Ia-Iab	58Alp Ori	Betelgeuse
5267	210.95583	-60.37306	0.61	-0.23	B1III	Bet Cen	Hadar
7557	297.69583	8.86833	0.77	+0.22	A7V	53Alp Aql	Altair
1457	68.98000	16.50917	0.85	+1.54	K5+III	87Alp Tau	Aldebaran
6134	247.35167	-26.43194	0.96	+1.83	M1.5Iab-Ib+B4Ve	21Alp Sco	Antares
5056	201.29833	-11.16139	0.98	-0.23	B1III-IV+B2V	67Alp Vir	Spica
2990	116.32875	28.02611	1.14	+1.00	K0IIIb	78Bet Gem	Pollux
8728	344.41292	-29.62222	1.16	+0.09	A3V	24Alp PsA	Fomalhaut
4853	191.93000	-59.68861	1.25	-0.23	B0.5III	Bet Cru	Mimosa
7924	310.35792	45.28028	1.25	+0.09	A2Ia	50Alp Cyg	Deneb
4730	186.64958	-63.09917	1.33	-0.24	B0.5IV	Alp1Cru	Acrux
5460	219.90042	-60.83556	1.33	+0.88	K1V	Alp2Cen	
3982	152.09292	11.96722	1.35	-0.11	B7V	32Alp Leo	Regulus
2618	104.65625	-28.97222	1.50	-0.21	B2II	21Eps CMa	Adhara
4763	187.79125	-57.11333	1.63	+1.59	M3.5III	Gam Cru	Gacrux
6527	263.40208	-37.10389	1.63	-0.22	B2IV+B	35Lam Sco	Shaula
1790	81.28292	6.34972	1.64	-0.22	B2III	24Gam Ori	Bellatrix
1791	81.57292	28.60750	1.65	-0.13	B7III	112Bet Tau	Elnath
3685	138.30000	-69.71722	1.68	0.00	A2IV	Bet Car	Miaplacidus
1903	84.05333	-1.20194	1.70	-0.19	B0Ia	46Eps Ori	Alnilam
4731	186.65208	-63.09944	1.73	-0.26	B1V	Alp2Cru	
8425	332.05833	-46.96111	1.74	-0.13	B7IV	Alp Gru	Alnair
4905	193.50708	55.95972	1.77	-0.02	A0pCr	77Eps UMa	Alioth
3207	122.38333	-47.33667	1.78	-0.22	WC8+O9I	Gam2Vel	
1017	51.08083	49.86111	1.79	+0.48	F5Ib	33Alp Per	Mirfak
4301	165.93208	61.75083	1.79	+1.07	K0IIIa	50Alp UMa	Dubhe
2693	107.09792	-26.39333	1.84	+0.68	F8Ia	25Del CMa	Wezen
6879	276.04292	-34.38472	1.85	-0.03	B9.5III	20Eps Sgr	Kaus Australis
3307	125.62833	-59.50972	1.86	+1.28	K3III+B2:V	Eps Car	Avior
5191	206.88500	49.31333	1.86	-0.19	B3V	85Eta UMa	Alkaid
6553	264.33000	-42.99778	1.87	+0.40	F1II	The Sco	Sargas
2088	89.88208	44.94750	1.90	+0.03	A2IV	34Bet Aur	Menkalinan
6217	252.16625	-69.02778	1.92	+1.44	K2IIb-IIIa	Alp TrA	Atria
2421	99.42792	16.39917	1.93	0.00	A0IV	24Gam Gem	Alhena
7790	306.41208	-56.73500	1.94	-0.20	B2IV	Alp Pav	Peacock
3485	131.17583	-54.70833	1.96	+0.04	A1V	Del Vel	Alsephina
2294	95.67500	-17.95583	1.98	-0.23	B1II-III	2Bet CMa	Mirzam
2891	113.65000	31.88833	1.98	+0.03	A1V	66Alp Gem	Castor
3748	141.89667	-8.65861	1.98	+1.44	K3II-III	30Alp Hya	Alphard
617	31.79333	23.46250	2.00	+1.15	K2-IIICa-1	13Alp Ari	Hamal
5958	239.87583	25.92028	2.00	+0.1	sdBe+gM3+Q		
424	37.95292	89.26417	2.02	+0.60	F7:Ib-II	1Alp UMi	Polaris
7121	283.81625	-26.29667	2.02	-0.22	B2.5V	34Sig Sgr	Nunki
188	10.89750	-17.98667	2.04	+1.02	G9.5IIICH-1	16Bet Cet	Diphda
1948	85.18958	-1.94278	2.05	-0.21	O9.7Ib	50Zet Ori	Alnitak
15	2.09708	29.09056	2.06	-0.11	B8IVpMnHg	21Alp And	Alpheratz
337	17.43292	35.62056	2.06	+1.58	M0+IIIa	43Bet And	Mirach
2004	86.93917	-9.66972	2.06	-0.17	B0.5Ia	53Kap Ori	Saiph
5288	211.67083	-36.37000	2.06	+1.01	K0-IIIb	5The Cen	Menkent
5563	222.67625	74.15556	2.08	+1.47	K4-III	7Bet UMi	Kochab
6556	263.73375	12.56000	2.08	+0.15	A5III	55Alp Oph	Rasalhague
8636	340.66708	-46.88472	2.10	+1.60	M5III	Bet Gru	
936	47.04208	40.95556	2.12	-0.05	B8V	26Bet Per	Algol
4534	177.26500	14.57194	2.14	+0.09	A3V	94Bet Leo	Denebola
4819	190.37917	-48.95972	2.17	-0.01	A1IV	Gam Cen	Muhlifain
7796	305.55708	40.25667	2.20	+0.68	F8Ib	37Gam Cyg	Sadr
3634	136.99917	-43.43250	2.21	+1.66	K4.5Ib-II	Lam Vel	Suhail
168	10.12708	56.53722	2.23	+1.17	K0IIIa	18Alp Cas	Schedar
1852	83.00167	-0.29917	2.23	-0.22	O9.5II	34Del Ori	Mintaka
5793	233.67208	26.71472	2.23	-0.02	A0V+G5V	5Alp CrB	Alphecca
6705	269.15167	51.48889	2.23	+1.52	K5III	33Gam Dra	Eltanin
3165	120.89625	-40.00333	2.25	-0.26	O5f	Zet Pup	Naos
3699	139.27250	-59.27528	2.25	+0.18	A8Ib	Iot Car	Aspidiske
603	30.97500	42.32972	2.26	+1.37	K3-IIb	57Gam1And	
21	2.29458	59.14972	2.27	+0.34	F2III-IV	11Bet Cas	Caph
5054	200.98125	54.92528	2.27	+0.02	A1VpSrSi	79Zet UMa	Mizar
6241	252.54083	-34.29333	2.29	+1.15	K2.5III	26Eps Sco	
5132	204.97167	-53.46639	2.30	-0.22	B1III	Eps Cen	
5469	220.48250	-47.38833	2.30	-0.20	B1.5III/Vn	Alp Lup	
5440	218.87667	-42.15778	2.31	-0.19	B1.5Vne	Eta Cen	
5953	240.08333	-22.62167	2.32	-0.12	B0.3IV	7Del Sco	Dschubba
4295	165.46042	56.38250	2.37	-0.02	A1V	48Bet UMa	Merak
99	6.57083	-42.30611	2.39	+1.09	K0III	Alp Phe	Ankaa
8308	326.04667	9.87500	2.39	+1.53	K2Ib	8Eps Peg	Enif
6580	265.62208	-39.03000	2.41	-0.22	B1.5III	Kap Sco	Girtab
8775	345.94375	28.08278	2.42	+1.67	M2.5II-III	53Bet Peg	Scheat
6378	257.59458	-15.72472	2.43	+0.06	A2V	35Eta Oph	Sabik
4554	178.45750	53.69472	2.44	0.00	A0Ve	64Gam UMa	Phecda
8162	319.64500	62.58556	2.44	+0.22	A7V	5Alp Cep	Alderamin
2827	111.02375	-29.30306	2.45	-0.08	B5Ia	31Eta CMa	Aludra
7949	311.55292	33.97028	2.46	+1.03	K0-III	53Eps Cyg	Aljanah
264	14.17708	60.71667	2.47	-0.15	B0IVe	27Gam Cas	Navi
8781	346.19042	15.20528	2.49	-0.04	B9V	54Alp Peg	Markab
3734	140.52833	-55.01083	2.50	-0.18	B2IV-V	Kap Vel	Markeb
911	45.57000	4.08972	2.53	+1.64	M1.5IIIa	92Alp Cet	
5231	208.88500	-47.28833	2.55	-0.22	B2.5IV	Zet Cen	
4357	168.52708	20.52361	2.56	+0.12	A4V	68Del Leo	Zosma
6175	249.28958	-10.56722	2.56	+0.02	O9.5Vn	13Zet Oph	
1865	83.18250	-17.82222	2.58	+0.21	F0Ib	11Alp Lep	Arneb
